Unnamed: 0,status,founded_at,funding_rounds,funding_total_usd,milestones,relationships,lat,lng,isClosed,active_days,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_BRA,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_IRL,country_code_ISR,country_code_NLD,country_code_USA,country_code_other
5,1,2007,5.0,125371133.0,1.0,2.0,30.4277547,-9.5981072,1,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,1,2008,5.0,125371133.0,1.0,4.0,22.307158800000003,73.1812187,1,3650.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,1,2008,5.0,125371133.0,1.0,2.0,35.686975200000006,-105.937799,1,4745.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,1,2008,5.0,125371133.0,1.0,3.0,33.0786552,-116.6019637,1,3650.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,1,2007,5.0,68069200.0,1.0,14.0,37.7749295,-122.4194155,1,13870.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,1,2011,5.0,125371133.0,1.0,2.0,49.0504377,-122.3044697,1,4745.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,2011,5.0,125371133.0,1.0,4.0,37.7749295,-122.4194155,1,5840.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,1,2009,5.0,125371133.0,1.0,2.0,37.7749295,-122.4194155,1,3650.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,1,2012,5.0,125371133.0,4.0,3.0,36.0318578,-84.02765500000001,1,3650.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
33,1,2005,5.0,125371133.0,1.0,4.0,41.8781136,-87.62979820000001,1,8395.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34,1,2004,5.0,125371133.0,1.0,1.0,-35.2962556,139.038277,1,5475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,2006,5.0,125371133.0,1.0,4.0,35.2270869,-80.8431267,1,4015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
44,1,2008,5.0,125371133.0,1.0,1.0,35.6092261,139.7301861,1,4745.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1,2008,5.0,125371133.0,1.0,4.0,52.3702157,4.895167900000001,1,5475.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,1,2007,5.0,125371133.0,1.0,4.0,37.7749295,-122.4194155,1,5475.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
49,1,2011,5.0,125371133.0,1.0,4.0,41.1953739,-73.4378988,1,4745.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,1,2007,5.0,125371133.0,1.0,2.0,12.9715987,77.5945627,1,5110.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,1,2006,5.0,125371133.0,1.0,1.0,30.0444196,31.235711600000005,1,5110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,1,2008,5.0,125371133.0,1.0,2.0,32.0852999,34.7817676,1,4015.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57,1,1983,5.0,125371133.0,1.0,1.0,43.071755200000005,-70.7625532,1,18250.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
59,1,2007,5.0,125371133.0,1.0,3.0,42.4894801,-83.1446485,1,15330.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,1,2001,5.0,125371133.0,1.0,3.0,42.633424700000006,-71.3161718,1,4745.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
62,1,2008,5.0,125371133.0,1.0,3.0,51.5073509,-0.1277583,1,3650.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
63,2,1986,5.0,125371133.0,1.0,1.0,41.3253756,-72.1931338,0,3650.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,1,2004,5.0,125371133.0,1.0,1.0,13.7563309,100.5017651,1,8760.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
66,2,2005,7.0,121500000.0,3.0,45.0,42.3600825,-71.0588801,0,3650.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
69,1,2008,5.0,125371133.0,1.0,4.0,33.3061605,-111.8412502,1,4015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
